iter	MultiClass
0	0.9947940494
1	0.9023156869
2	0.8307303763
3	0.7552238398
4	0.6852571621
5	0.63789474
6	0.5884881514
7	0.5442884301
8	0.5049886806
9	0.474148278
10	0.4500378228
11	0.4188801763
12	0.3943819347
13	0.368584157
14	0.3448332859
15	0.3296742518
16	0.3117177949
17	0.2934504073
18	0.2793009089
19	0.2669601104
20	0.2562124674
21	0.2447858439
22	0.2342668729
23	0.2225865685
24	0.2158700116
25	0.2065486878
26	0.1999917325
27	0.1914788758
28	0.1831193057
29	0.1773138443
30	0.1710368834
31	0.1650618486
32	0.1598497499
33	0.1540711183
34	0.1491794261
35	0.1442217464
36	0.1404079014
37	0.1359818495
38	0.1323610036
39	0.128525394
40	0.1256217786
41	0.1231264321
42	0.1206473625
43	0.1172336247
44	0.1140962164
45	0.1114201353
46	0.1088103635
47	0.1064553989
48	0.1031096723
49	0.1003099925
50	0.09850670922
51	0.0962761112
52	0.09414783292
53	0.09280130724
54	0.09069107076
55	0.0887263282
56	0.08666339109
57	0.08460496224
58	0.08273728447
59	0.08091980954
60	0.07943783479
61	0.07767260355
62	0.07641856549
63	0.07443772004
64	0.07262922945
65	0.0716738492
66	0.07010565884
67	0.06875908268
68	0.0674970188
69	0.06634926347
70	0.06505914348
71	0.06375986937
72	0.06271660583
73	0.06175681156
74	0.06092083549
75	0.05996522165
76	0.05915643883
77	0.05807472251
78	0.05737782169
79	0.05633410566
80	0.05552823546
81	0.05485254932
82	0.0541483233
83	0.05335496126
84	0.05266091616
85	0.05197887228
86	0.05117247515
87	0.05028044445
88	0.0496269675
89	0.04886511036
90	0.04825301422
91	0.0476481361
92	0.04709404102
93	0.04651687159
94	0.04595168414
95	0.04531439244
96	0.04458805667
97	0.04410205985
98	0.04334140098
99	0.04272599753
