iter	Passed	Remaining
0	122	12115
1	123	6046
2	124	4017
3	125	3002
4	125	2390
5	126	1982
6	127	1689
7	127	1470
8	128	1299
9	129	1162
10	129	1051
11	130	957
12	131	878
13	131	809
14	132	752
15	133	701
16	134	655
17	134	614
18	135	578
19	136	545
20	136	515
21	137	487
22	138	462
23	138	438
24	139	417
25	139	398
26	140	379
27	141	362
28	141	347
29	142	332
30	143	319
31	144	306
32	144	293
33	145	282
34	146	271
35	146	260
36	147	251
37	148	241
38	148	232
39	149	223
40	149	215
41	150	207
42	151	200
43	151	193
44	152	186
45	153	179
46	153	173
47	154	167
48	155	161
49	155	155
50	156	150
51	157	144
52	157	139
53	158	134
54	158	130
55	159	125
56	160	121
57	161	116
58	162	112
59	162	108
60	163	104
61	164	100
62	164	96
63	165	93
64	166	89
65	166	85
66	167	82
67	168	79
68	168	75
69	169	72
70	169	69
71	170	66
72	171	63
73	172	60
74	173	57
75	173	54
76	174	52
77	175	49
78	175	46
79	176	44
80	177	41
81	177	39
82	178	36
83	179	34
84	179	31
85	180	29
86	181	27
87	182	24
88	182	22
89	183	20
90	184	18
91	184	16
92	185	13
93	186	11
94	186	9
95	187	7
96	188	5
97	188	3
98	189	1
99	190	0
